                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4929,                 1.4772,                0.93953,                 0.7027,                0.68538,                0.70368,                0.32953,                 2.4836,                 1.5127,                 1.9183,                4.8e-05,                4.8e-05,                4.8e-05
                      2,                 1.4823,                 1.4945,                0.95119,                0.71028,                0.67977,                0.71705,                0.33688,                 2.5337,                 1.5237,                  2.039,             9.8453e-05,             9.8453e-05,             9.8453e-05
                      3,                 1.4764,                 1.5431,                0.92763,                0.73147,                0.71021,                0.72217,                0.32188,                 2.6333,                 1.4223,                 2.1627,              0.0001473,              0.0001473,              0.0001473
                      4,                 1.4953,                 1.5274,                0.94612,                0.69324,                0.68051,                0.69838,                0.32433,                 2.6282,                 1.3971,                 2.1786,             0.00019453,             0.00019453,             0.00019453
                      5,                 1.4991,                 1.4586,                 0.9482,                0.69757,                0.69346,                0.70585,                0.33712,                 2.7318,                 1.3557,                 2.2829,             0.00024016,             0.00024016,             0.00024016
                      6,                 1.5098,                 1.4831,                0.95525,                0.69887,                0.68092,                0.70515,                0.32465,                 2.6318,                 1.3957,                 2.1822,             0.00028418,             0.00028418,             0.00028418
                      7,                 1.4918,                 1.4886,                0.94997,                0.68535,                0.66119,                0.68629,                0.32324,                 2.6103,                 1.4455,                 2.0962,             0.00032659,             0.00032659,             0.00032659
                      8,                 1.5127,                 1.4864,                0.94476,                 0.7253,                0.71155,                0.69755,                0.32671,                 2.6187,                 1.3112,                 2.0602,             0.00035669,             0.00035669,             0.00035669
                      9,                 1.5066,                 1.4808,                0.95222,                 0.7141,                0.69683,                0.69972,                0.31649,                 2.7677,                 1.2537,                 2.3026,              0.0003505,              0.0003505,              0.0003505
                     10,                 1.4956,                 1.4225,                0.95129,                0.70462,                0.69548,                0.68832,                0.32018,                 2.7869,                 1.3438,                 2.4135,             0.00034431,             0.00034431,             0.00034431
                     11,                 1.4755,                 1.4186,                0.95711,                0.66499,                0.67628,                0.67174,                0.31512,                 2.7281,                 1.3565,                 2.2628,             0.00033813,             0.00033813,             0.00033813
                     12,                 1.5188,                 1.4664,                0.94939,                0.70445,                 0.7027,                  0.683,                0.32345,                 2.7155,                 1.2523,                 2.2221,             0.00033194,             0.00033194,             0.00033194
                     13,                 1.5108,                 1.4131,                0.95513,                0.69375,                0.67838,                0.69496,                0.32636,                 2.7322,                 1.2619,                 2.3341,             0.00032575,             0.00032575,             0.00032575
                     14,                 1.4744,                 1.3386,                0.94912,                0.69672,                0.68375,                0.68367,                0.34037,                 2.6899,                 1.2058,                 2.2816,             0.00031956,             0.00031956,             0.00031956
                     15,                 1.4954,                 1.3791,                0.94099,                0.70397,                0.68334,                0.68478,                0.32358,                 2.6874,                 1.3036,                 2.2727,             0.00031338,             0.00031338,             0.00031338
                     16,                 1.4474,                 1.3403,                0.94298,                0.67013,                0.68291,                0.68595,                  0.326,                 2.6471,                  1.284,                 2.2341,             0.00030719,             0.00030719,             0.00030719
                     17,                 1.4933,                 1.3253,                0.94325,                0.69279,                0.63553,                0.68643,                0.33679,                 2.7173,                 1.2671,                 2.3402,               0.000301,               0.000301,               0.000301
                     18,                 1.4142,                 1.2712,                0.94883,                0.70424,                0.71237,                 0.7036,                 0.3432,                 2.7217,                 1.2089,                 2.3857,             0.00029481,             0.00029481,             0.00029481
                     19,                 1.4599,                 1.2966,                0.95496,                0.69318,                0.70755,                0.69533,                0.33974,                 2.7278,                 1.2064,                 2.3255,             0.00028863,             0.00028863,             0.00028863
                     20,                 1.4181,                 1.2597,                0.93234,                0.69472,                0.70447,                0.70825,                0.34009,                 2.7569,                 1.1992,                 2.4424,             0.00028244,             0.00028244,             0.00028244
                     21,                 1.4003,                 1.2037,                0.93757,                 0.6854,                0.69027,                 0.7127,                0.35096,                 2.7049,                 1.2073,                 2.4249,             0.00027625,             0.00027625,             0.00027625
                     22,                 1.4276,                 1.1771,                0.93544,                0.71049,                0.72017,                 0.7164,                0.34554,                 2.6973,                 1.1744,                 2.4198,             0.00027006,             0.00027006,             0.00027006
                     23,                   1.43,                 1.2129,                0.92595,                0.68664,                 0.7084,                0.71028,                0.34208,                 2.6919,                 1.2229,                 2.3631,             0.00026388,             0.00026388,             0.00026388
                     24,                  1.442,                 1.2181,                0.93099,                 0.6907,                0.70214,                0.70115,                0.32984,                  2.666,                 1.3013,                 2.4215,             0.00025769,             0.00025769,             0.00025769
                     25,                 1.4133,                 1.2154,                 0.9406,                0.68803,                0.69143,                0.70009,                0.33594,                 2.7063,                 1.1227,                 2.4365,              0.0002515,              0.0002515,              0.0002515
                     26,                 1.4115,                 1.1735,                 0.9407,                0.71075,                0.71192,                0.71501,                0.33148,                 2.6433,                 1.1778,                 2.2673,             0.00024531,             0.00024531,             0.00024531
                     27,                 1.4076,                 1.1468,                0.92723,                0.70328,                0.70252,                0.70993,                0.33388,                 2.6675,                 1.1881,                 2.3691,             0.00023912,             0.00023912,             0.00023912
                     28,                 1.3882,                 1.1713,                0.92054,                0.73702,                0.71083,                 0.7191,                0.35343,                 2.6215,                 1.1825,                 2.3083,             0.00023294,             0.00023294,             0.00023294
                     29,                 1.3722,                  1.107,                0.92763,                0.70925,                 0.7212,                0.72694,                0.34224,                 2.6324,                 1.1332,                 2.3063,             0.00022675,             0.00022675,             0.00022675
                     30,                 1.3753,                 1.1107,                0.93241,                0.72683,                0.72665,                0.72108,                0.35282,                 2.7072,                 1.1309,                 2.3957,             0.00022056,             0.00022056,             0.00022056
                     31,                 1.3931,                 1.1325,                0.92959,                0.70571,                 0.7101,                0.71915,                 0.3466,                 2.7343,                 1.1144,                 2.4584,             0.00021437,             0.00021437,             0.00021437
                     32,                 1.3807,                 1.1055,                0.93404,                0.72389,                0.72985,                0.72627,                0.34597,                 2.6968,                 1.0789,                 2.4057,             0.00020819,             0.00020819,             0.00020819
                     33,                 1.3929,                 1.0684,                 0.9362,                0.71133,                0.70686,                0.72464,                0.34417,                 2.7258,                 1.1402,                 2.4477,               0.000202,               0.000202,               0.000202
