                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9749,                 3.7685,                 1.0947,                 0.5402,                 0.6002,                 0.6022,                0.26793,                 2.2697,                 3.1296,                 1.5546,                9.6e-05,                9.6e-05,                9.6e-05
                      2,                  1.701,                 1.6743,                 1.0092,                0.67593,                0.63397,                0.67736,                0.31695,                 2.3843,                 1.6121,                 1.8037,             0.00019297,             0.00019297,             0.00019297
                      3,                 1.5799,                 1.3771,                0.98874,                0.69409,                0.68242,                0.71211,                0.31548,                 2.4715,                 1.8449,                 1.9157,             0.00028684,             0.00028684,             0.00028684
                      4,                 1.6067,                 1.2857,                0.99384,                0.53777,                0.70376,                 0.5951,                 0.2876,                 2.4805,                  37.84,                 2.0389,             0.00037762,             0.00037762,             0.00037762
                      5,                 1.5397,                 1.1007,                0.98723,                0.61406,                0.69493,                0.70288,                  0.297,                 2.5032,                 2.6761,                  1.926,             0.00037525,             0.00037525,             0.00037525
                      6,                 1.6006,                 1.0506,                 0.9793,                0.71053,                0.68956,                0.72332,                0.33362,                 2.5265,                 1.2918,                 1.9364,             0.00036906,             0.00036906,             0.00036906
                      7,                 1.5424,                0.93062,                 0.9851,                0.71351,                 0.7217,                0.69985,                0.31362,                 2.5478,                 1.2013,                 1.9785,             0.00036288,             0.00036288,             0.00036288
                      8,                 1.5165,                 0.8657,                0.97493,                0.71882,                0.71194,                0.72064,                0.35154,                 2.4604,                 1.1712,                 1.9502,             0.00035669,             0.00035669,             0.00035669
                      9,                 1.4815,                0.79169,                0.96896,                0.70957,                 0.7031,                0.70877,                0.34422,                 2.5005,                 1.1374,                 1.9695,              0.0003505,              0.0003505,              0.0003505
                     10,                 1.4681,                0.77535,                0.98309,                0.71562,                 0.7219,                0.72347,                 0.3495,                 2.4632,                 1.0575,                 1.9483,             0.00034431,             0.00034431,             0.00034431
                     11,                 1.5357,                0.80525,                0.98652,                 0.7169,                0.69362,                 0.7124,                0.32729,                 2.5287,                 1.0359,                 1.9082,             0.00033813,             0.00033813,             0.00033813
                     12,                  1.462,                0.73071,                0.96159,                0.69852,                 0.7152,                0.70901,                 0.3363,                  2.584,                 1.0399,                 1.9855,             0.00033194,             0.00033194,             0.00033194
                     13,                 1.4718,                0.74772,                0.96503,                0.70095,                0.71659,                0.71077,                0.33486,                 2.4992,                 1.0226,                 1.9253,             0.00032575,             0.00032575,             0.00032575
                     14,                 1.3888,                0.69154,                0.93852,                0.73726,                0.70917,                 0.7244,                0.35511,                 2.4902,                0.99912,                 1.9784,             0.00031956,             0.00031956,             0.00031956
                     15,                  1.413,                0.68105,                0.93712,                0.75504,                0.75493,                0.73744,                0.35357,                 2.4781,                0.97825,                 2.0556,             0.00031338,             0.00031338,             0.00031338
                     16,                 1.4192,                0.70996,                0.95182,                0.71198,                 0.7112,                0.71127,                0.34755,                 2.5198,                 1.0065,                 2.1486,             0.00030719,             0.00030719,             0.00030719
                     17,                 1.3986,                0.67979,                 0.9386,                0.75232,                0.73412,                0.72659,                0.35563,                 2.4894,                 1.0035,                 2.1009,               0.000301,               0.000301,               0.000301
                     18,                 1.4243,                0.69305,                0.95459,                0.71823,                0.72779,                0.71753,                0.36782,                 2.4497,                 1.0224,                 2.0152,             0.00029481,             0.00029481,             0.00029481
                     19,                 1.4133,                0.71751,                  0.933,                0.70713,                0.68206,                0.69323,                0.34563,                  2.497,                 1.0299,                 1.9832,             0.00028863,             0.00028863,             0.00028863
                     20,                 1.3918,                0.68429,                0.93648,                0.72296,                0.70511,                0.70373,                0.34556,                 2.4756,                 1.0131,                 1.9755,             0.00028244,             0.00028244,             0.00028244
                     21,                 1.4016,                0.64889,                0.94031,                 0.7244,                0.71178,                 0.7227,                 0.3514,                 2.5086,                 1.0326,                 1.9723,             0.00027625,             0.00027625,             0.00027625
                     22,                 1.3334,                0.61446,                0.92719,                0.72087,                0.70248,                 0.7153,                0.33667,                 2.5334,                 1.0302,                 1.9997,             0.00027006,             0.00027006,             0.00027006
                     23,                 1.3721,                0.64784,                0.92716,                0.70078,                 0.7027,                0.71174,                0.34958,                 2.4942,                 1.0397,                 2.0109,             0.00026388,             0.00026388,             0.00026388
                     24,                 1.3507,                0.62867,                0.92673,                0.71391,                0.69988,                0.71945,                0.34849,                  2.518,                 1.0059,                 2.0602,             0.00025769,             0.00025769,             0.00025769
                     25,                 1.3381,                0.64309,                 0.9327,                0.71252,                0.72498,                0.71919,                0.35847,                 2.4651,                0.99453,                 1.9882,              0.0002515,              0.0002515,              0.0002515
                     26,                 1.3601,                0.62322,                0.92546,                0.73033,                0.71309,                 0.7183,                0.35917,                 2.4746,                 1.0425,                 1.9757,             0.00024531,             0.00024531,             0.00024531
                     27,                 1.3025,                0.61892,                0.92474,                0.75221,                0.72674,                 0.7311,                0.34295,                 2.5291,                 1.0176,                 2.0147,             0.00023912,             0.00023912,             0.00023912
                     28,                 1.3219,                0.62573,                0.93903,                0.73181,                0.71848,                0.71722,                0.33982,                 2.5572,                 1.0709,                 2.0294,             0.00023294,             0.00023294,             0.00023294
                     29,                 1.3428,                 0.6087,                0.92546,                0.72476,                  0.712,                0.71796,                0.34357,                 2.5482,                 1.0164,                 2.0222,             0.00022675,             0.00022675,             0.00022675
                     30,                 1.3254,                0.60726,                 0.9326,                0.72741,                 0.7089,                0.70683,                0.35237,                 2.5165,                 1.0725,                 2.0063,             0.00022056,             0.00022056,             0.00022056
                     31,                 1.3139,                0.60956,                0.92444,                0.71781,                0.69291,                0.70808,                0.33333,                 2.5443,                 1.0119,                 2.0089,             0.00021437,             0.00021437,             0.00021437
                     32,                 1.2889,                0.58799,                0.90444,                0.72316,                0.70277,                 0.7089,                 0.3447,                 2.5249,                 1.0483,                 2.0007,             0.00020819,             0.00020819,             0.00020819
                     33,                 1.3143,                0.60217,                0.91079,                0.72889,                0.69982,                0.71124,                0.33975,                 2.5492,                 1.0908,                 1.9883,               0.000202,               0.000202,               0.000202
                     34,                 1.2627,                0.58248,                0.91977,                0.72668,                0.69821,                0.71672,                0.34144,                 2.4867,                 1.0148,                 1.9746,             0.00019581,             0.00019581,             0.00019581
                     35,                 1.2908,                 0.5786,                0.91335,                0.73079,                0.74172,                0.72969,                0.33347,                 2.5281,                 1.0099,                 1.9987,             0.00018963,             0.00018963,             0.00018963
                     36,                 1.2247,                0.55639,                0.91158,                0.73329,                0.72431,                0.72499,                0.34847,                 2.5344,                0.94266,                  2.038,             0.00018344,             0.00018344,             0.00018344
                     37,                 1.2486,                0.56231,                0.91655,                 0.7409,                0.71063,                0.71414,                0.35733,                 2.5045,                 1.0045,                 2.0199,             0.00017725,             0.00017725,             0.00017725
                     38,                 1.2337,                0.56461,                0.90935,                0.73446,                0.72898,                0.71301,                0.34008,                 2.5398,                0.97019,                 2.0257,             0.00017106,             0.00017106,             0.00017106
                     39,                  1.233,                0.54702,                0.90958,                0.70392,                0.70713,                0.69448,                0.34778,                 2.5658,                 1.0161,                 2.0556,             0.00016488,             0.00016488,             0.00016488
                     40,                 1.2518,                0.55895,                0.89829,                 0.7234,                0.72773,                0.71975,                  0.355,                 2.5221,                 1.0089,                 2.0006,             0.00015869,             0.00015869,             0.00015869
                     41,                 1.2419,                0.56047,                 0.9002,                0.73555,                0.70632,                0.71357,                0.34661,                 2.5346,                 1.0117,                 2.0021,              0.0001525,              0.0001525,              0.0001525
                     42,                 1.2575,                0.56593,                0.89742,                0.73273,                 0.7228,                0.72249,                0.35908,                 2.4906,                  1.038,                 1.9693,             0.00014631,             0.00014631,             0.00014631
                     43,                 1.2322,                0.55642,                0.90465,                0.71564,                0.71352,                0.71984,                0.35139,                  2.503,                 1.0021,                  1.975,             0.00014013,             0.00014013,             0.00014013
                     44,                 1.2118,                0.53593,                0.90595,                0.71603,                 0.6858,                 0.7103,                0.35568,                 2.5209,                0.98428,                 2.0258,             0.00013394,             0.00013394,             0.00013394
                     45,                 1.1867,                0.52391,                0.89004,                0.73371,                0.69815,                0.71685,                 0.3584,                 2.5499,                0.99228,                 2.0551,             0.00012775,             0.00012775,             0.00012775
                     46,                 1.2168,                0.51719,                0.91041,                0.73309,                0.69948,                0.71533,                0.34777,                 2.5176,                0.98868,                 2.0277,             0.00012156,             0.00012156,             0.00012156
                     47,                  1.227,                0.51739,                0.88574,                0.73186,                0.71507,                0.71691,                 0.3483,                 2.5219,                0.99218,                 2.0143,             0.00011538,             0.00011538,             0.00011538
                     48,                 1.1737,                0.51657,                0.87538,                0.73993,                0.71242,                 0.7151,                0.34151,                  2.508,                0.97611,                 2.0283,             0.00010919,             0.00010919,             0.00010919
                     49,                 1.2093,                0.51059,                0.89762,                0.73586,                0.71404,                0.71355,                0.35217,                 2.4744,                0.98908,                 2.0079,               0.000103,               0.000103,               0.000103
                     50,                 1.1871,                0.51125,                  0.884,                0.73953,                0.71801,                0.71661,                0.35963,                 2.4821,                0.99603,                 1.9818,             9.6813e-05,             9.6813e-05,             9.6813e-05
                     51,                 1.1713,                0.50984,                0.88927,                0.74027,                0.71276,                0.71466,                 0.3498,                 2.4721,                 1.0107,                 1.9388,             9.0625e-05,             9.0625e-05,             9.0625e-05
                     52,                 1.1669,                0.50152,                0.89079,                0.74617,                0.70991,                0.72198,                0.36295,                 2.4813,                0.98313,                 1.9525,             8.4437e-05,             8.4437e-05,             8.4437e-05
                     53,                 1.1603,                0.50459,                0.87803,                0.74106,                0.71086,                0.72239,                0.36575,                 2.4928,                0.99358,                 1.9773,              7.825e-05,              7.825e-05,              7.825e-05
                     54,                 1.1755,                0.50384,                0.88078,                0.73762,                 0.7073,                0.72122,                0.36729,                 2.4862,                0.98927,                 1.9937,             7.2063e-05,             7.2063e-05,             7.2063e-05
                     55,                 1.1652,                 0.4954,                0.88371,                0.73677,                0.72918,                0.72589,                0.37445,                 2.4707,                0.95587,                 2.0123,             6.5875e-05,             6.5875e-05,             6.5875e-05
                     56,                 1.1923,                0.51417,                0.90316,                0.73308,                0.73037,                0.72459,                 0.3672,                 2.4813,                0.96191,                 2.0401,             5.9688e-05,             5.9688e-05,             5.9688e-05
                     57,                  1.159,                0.49292,                0.89146,                0.72832,                0.73524,                0.72427,                0.36604,                 2.4828,                0.99911,                 2.0437,               5.35e-05,               5.35e-05,               5.35e-05
                     58,                 1.1625,                0.49441,                0.89897,                0.72248,                0.73238,                0.72348,                0.36109,                  2.484,                 1.0273,                 2.0405,             4.7312e-05,             4.7312e-05,             4.7312e-05
                     59,                 1.1933,                0.49217,                0.89785,                0.71738,                0.72319,                0.71717,                0.36202,                 2.5028,                 1.0042,                 2.0451,             4.1125e-05,             4.1125e-05,             4.1125e-05
                     60,                 1.1775,                0.49022,                 0.8899,                0.71477,                0.72982,                0.71906,                0.35883,                 2.4963,                 1.0155,                 2.0342,             3.4938e-05,             3.4938e-05,             3.4938e-05
                     61,                  1.138,                0.47521,                0.88516,                0.71431,                0.72563,                0.71967,                 0.3604,                 2.5066,                 1.0294,                  2.035,              2.875e-05,              2.875e-05,              2.875e-05
                     62,                 1.1576,                  0.484,                0.89842,                 0.7449,                0.70676,                0.72403,                0.35939,                 2.5017,                 1.0235,                 2.0227,             2.2562e-05,             2.2562e-05,             2.2562e-05
                     63,                 1.1124,                0.46744,                0.89191,                0.74517,                  0.707,                 0.7242,                0.36056,                 2.4988,                 1.0112,                  2.015,             1.6375e-05,             1.6375e-05,             1.6375e-05
                     64,                 1.1265,                0.46897,                0.89158,                0.74055,                0.70064,                0.72324,                0.37059,                 2.4982,                 1.0014,                 2.0188,             1.0188e-05,             1.0188e-05,             1.0188e-05
