                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.307,                0.80391,                0.87961,                0.70584,                0.71179,                0.72033,                0.33502,                 2.7514,                  1.124,                 2.4104,                4.8e-05,                4.8e-05,                4.8e-05
                      2,                 1.2888,                0.77993,                0.87096,                0.71451,                0.69087,                0.71183,                 0.3303,                  2.745,                 1.1036,                 2.4126,             9.8453e-05,             9.8453e-05,             9.8453e-05
                      3,                 1.3096,                0.77862,                0.87642,                0.69681,                0.71916,                0.71377,                 0.3161,                  2.758,                 1.1215,                 2.4225,              0.0001473,              0.0001473,              0.0001473
                      4,                 1.3341,                0.80509,                0.88471,                0.73951,                0.68989,                0.72262,                0.32954,                 2.7405,                 1.1058,                 2.4129,             0.00019453,             0.00019453,             0.00019453
                      5,                 1.3165,                0.80933,                0.87955,                0.70563,                0.70167,                0.72221,                0.32471,                 2.8074,                 1.1551,                 2.4129,             0.00024016,             0.00024016,             0.00024016
                      6,                 1.3154,                0.78152,                0.88116,                0.71773,                0.72973,                0.72067,                0.33512,                 2.7803,                 1.1698,                 2.4573,             0.00028418,             0.00028418,             0.00028418
                      7,                 1.2945,                0.78468,                0.88731,                0.72095,                0.72142,                0.72786,                 0.3307,                 2.7638,                 1.1043,                 2.4245,             0.00032659,             0.00032659,             0.00032659
                      8,                  1.301,                0.79096,                0.85816,                0.71964,                0.72126,                0.71709,                0.33049,                 2.7796,                   1.17,                  2.468,             0.00035669,             0.00035669,             0.00035669
                      9,                  1.272,                 0.7857,                0.87013,                0.71426,                0.73148,                0.72192,                0.32532,                  2.803,                 1.0742,                 2.4272,              0.0003505,              0.0003505,              0.0003505
                     10,                 1.3215,                0.79778,                0.88218,                0.71855,                0.70923,                0.70785,                 0.3332,                  2.831,                 1.1284,                 2.4708,             0.00034431,             0.00034431,             0.00034431
                     11,                 1.3179,                0.78772,                0.88016,                0.69286,                0.70932,                0.71145,                0.34385,                 2.7867,                 1.1101,                 2.4069,             0.00033813,             0.00033813,             0.00033813
                     12,                 1.3191,                0.77751,                0.88245,                0.73444,                 0.7123,                0.71236,                0.33792,                 2.7692,                 1.0845,                  2.385,             0.00033194,             0.00033194,             0.00033194
                     13,                 1.3607,                0.79461,                0.87632,                 0.7271,                0.70975,                0.72027,                0.33429,                 2.7567,                 1.0962,                 2.3368,             0.00032575,             0.00032575,             0.00032575
                     14,                 1.2572,                0.75951,                0.88051,                0.72558,                0.70859,                0.72067,                0.33526,                 2.7972,                 1.0929,                 2.4174,             0.00031956,             0.00031956,             0.00031956
                     15,                 1.3079,                0.77565,                0.87872,                0.71624,                0.71348,                0.71966,                0.34774,                 2.7711,                 1.1226,                 2.4211,             0.00031338,             0.00031338,             0.00031338
                     16,                  1.274,                0.74332,                0.86928,                0.72261,                0.71131,                0.72242,                0.34476,                 2.7676,                 1.2004,                 2.4236,             0.00030719,             0.00030719,             0.00030719
